id,name,image,distillery,region,abv,cask,price,avg_rating,likes,is_featured
kilbeggan,킬베간,/whiskies/no.pic whisky.png,킬베간,아일랜드,40,블렌디드,4-6만원,0,0,false
kilchoman-machir-bay,킬호만 마키어 베이,/whiskies/no.pic whisky.png,킬호만,스코틀랜드 (아일라),46,버번 & 셰리,10-12만원,0,0,false
kilchoman-sanaig,킬호만 사닉,/whiskies/no.pic whisky.png,킬호만,스코틀랜드 (아일라),46,버번 & 올로로소 셰리,12-15만원,0,0,false
kilkerran-12,킬커란 12년,/whiskies/no.pic whisky.png,킬커란,스코틀랜드 (캠벨타운),46,버번 & 셰리,12-15만원,0,0,false
knob-creek-9,놉 크릭 9년,/whiskies/no.pic whisky.png,놉,미국 (켄터키),50,아메리칸 오크,8-10만원,0,0,false
lagavulin-16,라가불린 16년,/whiskies/no.pic whisky.png,라가불린,스코틀랜드 (아일라),43,버번 & 셰리,15-18만원,0,0,false
laphroaig-10,라프로익 10년,/whiskies/라프로익 10년.png,라프로익,스코틀랜드 (아일라),40,버번 캐스크,8-10만원,0,0,false
laphroaig-10-cask-strength,라프로익 10년 캐스크 스트렝스,/whiskies/no.pic whisky.png,라프로익,스코틀랜드 (아일라),58.6,버번 캐스크,15-18만원,0,0,false
laphroaig-quarter-cask,라프로익 쿼터 캐스크,/whiskies/no.pic whisky.png,라프로익,스코틀랜드 (아일라),48,쿼터 캐스크,10-12만원,0,0,false
leblon-cachaca,레블론 카샤사,/whiskies/no.pic whisky.png,레블론,브라질,40,카샤사,4-6만원,0,0,false
ledaig-10,레칙 10년,/whiskies/no.pic whisky.png,레칙,스코틀랜드 (아일랜즈),46.3,버번 캐스크,8-10만원,0,0,false
linkwood-12,링크우드 12년,/whiskies/no.pic whisky.png,링크우드,스코틀랜드 (스페이사이드),43,버번 캐스크,10-12만원,0,0,false
loch-lomond-12,로크로몬드 12년,/whiskies/no.pic whisky.png,로크로몬드,스코틀랜드 (하이랜드),46,버번 & 리필 & 리차,8-10만원,0,0,false
longmorn-distillers-choice,롱몬 디스틸러스 초이스,/whiskies/no.pic whisky.png,롱몬,스코틀랜드 (스페이사이드),40,호그스헤드 & 셰리 & 버번,10-12만원,0,0,false
longrow-peated,롱로우 피티드,/whiskies/no.pic whisky.png,롱로우,스코틀랜드 (캠벨타운),46,버번 & 셰리,10-12만원,0,0,false
macallan-12-sherry-oak,맥캘란 12년 셰리 오크,/whiskies/no.pic whisky.png,맥캘란,스코틀랜드 (스페이사이드),40,셰리 캐스크,12-15만원,0,0,false
makers-mark,메이커스 마크,/whiskies/메이커스 마크.png,메이커스,미국 (켄터키),45,아메리칸 오크,4-6만원,0,0,false
michter-s-us1-bourbon,믹터스 US1 버번,/whiskies/no.pic whisky.png,믹터스,미국 (켄터키),45.7,아메리칸 오크,10-12만원,0,0,false
miyagikyo-single-malt,미야기쿄 싱글몰트,/whiskies/no.pic whisky.png,미야기쿄,일본,45,다양한 캐스크,12-15만원,0,0,false
monkey-shoulder,몽키 숄더,/whiskies/몽키 숄더.png,몽키,스코틀랜드,40,블렌디드 몰트,4-6만원,0,0,false
mortlach-12,몰트락 12년,/whiskies/no.pic whisky.png,몰트락,스코틀랜드 (스페이사이드),43.4,버번 & 셰리,12-15만원,0,0,false
mortlach-16,몰트락 16년,/whiskies/no.pic whisky.png,몰트락,스코틀랜드 (스페이사이드),43.4,셰리 캐스크,18-20만원,0,0,false
nikka-from-the-barrel,니카 프롬 더 배럴,/whiskies/no.pic whisky.png,니카,일본,51.4,블렌디드,8-10만원,0,0,false
oban-14,오반 14년,/whiskies/no.pic whisky.png,오반,스코틀랜드 (하이랜드),43,버번 캐스크,12-15만원,0,0,false
old-ezra-7,올드 에즈라 7년,/whiskies/no.pic whisky.png,올드,미국 (켄터키),58.5,아메리칸 오크,12-15만원,0,0,false
old-forester-1920,올드 포레스터 1920,/whiskies/no.pic whisky.png,올드,미국 (켄터키),57.5,아메리칸 오크,12-15만원,0,0,false
old-pulteney-12,올드 풀트니 12년,/whiskies/no.pic whisky.png,올드,스코틀랜드 (하이랜드),40,버번 캐스크,8-10만원,0,0,false
penderyn-myth,펜더린 미스,/whiskies/no.pic whisky.png,펜더린,웨일스,41,버번 & 레드와인,10-12만원,0,0,false
pikesville-rye,파이크스빌 라이,/whiskies/no.pic whisky.png,파이크스빌,미국 (켄터키),55,라이,12-15만원,0,0,false
port-charlotte-10,포트샬롯 10년,/whiskies/no.pic whisky.png,포트샬롯,스코틀랜드 (아일라),50,아메리칸 & 프렌치 오크,12-15만원,0,0,false
powers-gold-label,파워스 골드 라벨,/whiskies/no.pic whisky.png,파워스,아일랜드,40,블렌디드,4-6만원,0,0,false
redbreast-12,레드브레스트 12년,/whiskies/no.pic whisky.png,레드브레스트,아일랜드,40,버번 & 셰리,10-12만원,0,0,false
rittenhouse-rye,리튼하우스 라이,/whiskies/no.pic whisky.png,리튼하우스,미국 (켄터키),50,라이,8-10만원,0,0,false
royal-salute-21,로얄 살루트 21년,/whiskies/no.pic whisky.png,로얄,스코틀랜드,40,블렌디드,20-25만원,0,0,false
russells-reserve-10,러셀 리저브 10년,/whiskies/no.pic whisky.png,러셀,미국 (켄터키),45,아메리칸 오크,8-10만원,0,0,false
sazerac-rye,사제락 라이,/whiskies/no.pic whisky.png,사제락,미국 (켄터키),45,라이,8-10만원,0,0,false
scapa-skiren,스카파 스키렌,/whiskies/no.pic whisky.png,스카파,스코틀랜드 (아일랜즈),40,버번 캐스크,8-10만원,0,0,false
singleton-12-of-dufftown,싱글톤 12년 더프타운,/whiskies/no.pic whisky.png,싱글톤,스코틀랜드 (스페이사이드),40,버번 & 셰리,8-10만원,0,0,false
slane,슬레인,/whiskies/no.pic whisky.png,슬레인,아일랜드,40,트리플 캐스크,4-6만원,0,0,false
smokehead,스모크헤드,/whiskies/no.pic whisky.png,스모크헤드,스코틀랜드 (아일라),43,버번 캐스크,8-10만원,0,0,false
southern-comfort,서던 컴포트,/whiskies/no.pic whisky.png,서던,미국 (루이지애나),35,리큐르,2-4만원,0,0,false
springbank-10,스프링뱅크 10년,/whiskies/no.pic whisky.png,스프링뱅크,스코틀랜드 (캠벨타운),46,버번 & 셰리,15-18만원,0,0,false
springbank-15,스프링뱅크 15년,/whiskies/no.pic whisky.png,스프링뱅크,스코틀랜드 (캠벨타운),46,셰리 캐스크,25-30만원,0,0,false
st-remy-vsop,생레미 VSOP,/whiskies/no.pic whisky.png,생레미,프랑스,40,브랜디,2-4만원,0,0,false
strathisla-12,스트라스아일라 12년,/whiskies/no.pic whisky.png,스트라스아일라,스코틀랜드 (스페이사이드),40,버번 캐스크,10-12만원,0,0,false
talisker-10,탈리스커 10년,/whiskies/탈리스커 10년.png,탈리스커,스코틀랜드 (아일랜즈),45.8,버번 캐스크,8-10만원,0,0,false
talisker-storm,탈리스커 스톰,/whiskies/no.pic whisky.png,탈리스커,스코틀랜드 (아일랜즈),45.8,리필 & 리차 캐스크,10-12만원,0,0,false
tamdhu-12,탐두 12년,/whiskies/no.pic whisky.png,탐두,스코틀랜드 (스페이사이드),43,셰리 캐스크,10-12만원,0,0,false
teeling-small-batch,틸링 스몰 배치,/whiskies/no.pic whisky.png,틸링,아일랜드,46,럼 캐스크 피니쉬,8-10만원,0,0,false
the-h-whisky,더 에이치 위스키,/whiskies/no.pic whisky.png,더에이치,한국,40,블렌디드,2-4만원,0,0,false
thomson-manuka,톰슨 마누카 스모크,/whiskies/no.pic whisky.png,톰슨,뉴질랜드,46,버번 캐스크,25-30만원,0,0,false
three-ships-10,쓰리 쉽스 10년,/whiskies/no.pic whisky.png,쓰리,남아프리카,43,아메리칸 오크,15-18만원,0,0,false
three-societies,쓰리 소사이어티스,/whiskies/no.pic whisky.png,쓰리,한국,43,아메리칸 오크,25-30만원,0,0,false
tullamore-dew,털라모어 듀,/whiskies/no.pic whisky.png,털라모어,아일랜드,40,3 캐스크 블렌드,4-6만원,0,0,false
white-oak-akashi,화이트 오크 아카시,/whiskies/no.pic whisky.png,화이트,일본,40,버번 & 셰리 캐스크,10-12만원,0,0,false
wild-turkey-101,와일드 터키 101,/whiskies/와일드 터키 101.png,와일드,미국 (켄터키),50.5,아메리칸 오크,4-6만원,0,0,false
wild-turkey-longbranch,와일드 터키 롱브랜치,/whiskies/no.pic whisky.png,와일드,미국 (켄터키),43,차콜 필터링,8-10만원,0,0,false
wild-turkey-rye,와일드 터키 라이,/whiskies/no.pic whisky.png,와일드,미국 (켄터키),40.5,라이,4-6만원,0,0,false
woodford-reserve,우드포드 리저브,/whiskies/우드포드 리저브.png,우드포드,미국 (켄터키),43.2,아메리칸 오크,8-10만원,0,0,false
yamazaki-distillers-reserve,야마자키 디스틸러스 리저브,/whiskies/no.pic whisky.png,야마자키,일본,43,다양한 캐스크,12-15만원,0,0,false
yellow-spot-12,옐로우 스팟 12년,/whiskies/no.pic whisky.png,옐로우,아일랜드,46,버번 & 셰리 & 말라가,15-18만원,0,0,false
yoichi-single-malt,요이치 싱글몰트,/whiskies/no.pic whisky.png,요이치,일본,45,다양한 캐스크,12-15만원,0,0,false
aberlour-12,아벨라워 12년,/whiskies/no.pic whisky.png,아벨라워,스코틀랜드 (스페이사이드),40,더블 캐스크,10-12만원,0,0,false
aberlour-abunadh,아벨라워 아부나흐,/whiskies/no.pic whisky.png,아벨라워,스코틀랜드 (스페이사이드),60,올로로소 셰리,15-18만원,0,0,false
anoc-12,아녹 12년,/whiskies/no.pic whisky.png,아녹,스코틀랜드 (하이랜드),46,버번 & 셰리,8-10만원,0,0,false
ardbeg-an-oa,아드벡 안오,/whiskies/no.pic whisky.png,아드벡,스코틀랜드 (아일라),46.6,PX & 차드 오크 & 버번,12-15만원,0,0,false
ardbeg-uigeadail,아드벡 우가달,/whiskies/no.pic whisky.png,아드벡,스코틀랜드 (아일라),54.2,버번 & 셰리,15-18만원,0,0,false
arran-sherry-cask-the-bodega,아란 셰리 캐스크 '더 보데가',/whiskies/no.pic whisky.png,아란,스코틀랜드 (아일랜즈),55.8,셰리 캐스크,12-15만원,0,0,false
aultmore-18,올트모어 18년,/whiskies/no.pic whisky.png,올트모어,스코틀랜드 (스페이사이드),46,버번 캐스크,18-20만원,0,0,false
balblair-15,발블레어 15년,/whiskies/no.pic whisky.png,발블레어,스코틀랜드 (하이랜드),46,버번 & 스패니시 오크,15-18만원,0,0,false
balvenie-17-doublewood,발베니 17년 더블우드,/whiskies/no.pic whisky.png,발베니,스코틀랜드 (스페이사이드),43,버번 & 셰리,25-30만원,0,0,false
benriach-smoky-ten,벤리악 스모키 텐,/whiskies/no.pic whisky.png,벤리악,스코틀랜드 (스페이사이드),46,버번 & 자메이카 럼 & 버진,10-12만원,0,0,false
benriach-smoky-twelve,벤리악 스모키 트웰브,/whiskies/no.pic whisky.png,벤리악,스코틀랜드 (스페이사이드),46,버번 & 셰리 & 마르살라,15-18만원,0,0,false
benromach-15,벤로막 15년,/whiskies/no.pic whisky.png,벤로막,스코틀랜드 (스페이사이드),43,버번 & 셰리,15-18만원,0,0,false
bowmore-18,보모어 18년,/whiskies/no.pic whisky.png,보모어,스코틀랜드 (아일라),43,올로로소 & PX 셰리,18-20만원,0,0,false
bruichladdich-octomore-14-1,브룩라디 옥토모어 14.1,/whiskies/no.pic whisky.png,브룩라디,스코틀랜드 (아일라),59.6,아메리칸 오크,25-30만원,0,0,false
bunnahabhain-stoire-una,부나하벤 스토어 우나,/whiskies/no.pic whisky.png,부나하벤,스코틀랜드 (아일라),46.3,셰리 캐스크,12-15만원,0,0,false
dalmore-cigar-malt,달모어 시가 몰트,/whiskies/no.pic whisky.png,달모어,스코틀랜드 (하이랜드),44,버번 & 셰리 & 까베르네,20-25만원,0,0,false
dalmore-king-alexander-iii,달모어 킹 알렉산더 3세,/whiskies/no.pic whisky.png,달모어,스코틀랜드 (하이랜드),40,6가지 캐스크,30만원 이상,0,0,false
e-h-taylor-small-batch,E.H. 테일러 스몰 배치,/whiskies/no.pic whisky.png,테일러,미국 (켄터키),50,아메리칸 오크,12-15만원,0,0,false
four-roses-small-batch,포 로지스 스몰 배치,/whiskies/no.pic whisky.png,포,미국 (켄터키),45,아메리칸 오크,6-8만원,0,0,false
glenallachie-10-cask-strength,글렌알라키 10년 CS,/whiskies/no.pic whisky.png,글렌알라키,스코틀랜드 (스페이사이드),56,PX & 올로로소 & 버진,15-18만원,0,0,false
glendronach-15-revival,글렌드로낙 15년 리바이벌,/whiskies/no.pic whisky.png,글렌드로낙,스코틀랜드 (하이랜드),46,PX & 올로로소 셰리,15-18만원,0,0,false
glendronach-18-allardice,글렌드로낙 18년 알라다이스,/whiskies/no.pic whisky.png,글렌드로낙,스코틀랜드 (하이랜드),46,올로로소 셰리,25-30만원,0,0,false
glenfarclas-12,글렌파클라스 12년,/whiskies/no.pic whisky.png,글렌파클라스,스코틀랜드 (스페이사이드),43,셰리 캐스크,10-12만원,0,0,false
glenfarclas-15,글렌파클라스 15년,/whiskies/no.pic whisky.png,글렌파클라스,스코틀랜드 (스페이사이드),46,셰리 캐스크,15-18만원,0,0,false
glenfiddich-21-gran-reserva,글렌피딕 21년 그랑 레제르바,/whiskies/no.pic whisky.png,글렌피딕,스코틀랜드 (스페이사이드),40,럼 캐스크,30만원 이상,0,0,false
glen-grant-12,글렌 그란트 12년,/whiskies/no.pic whisky.png,글렌,스코틀랜드 (스페이사이드),43,버번 캐스크,10-12만원,0,0,false
glenlivet-18,글렌리벳 18년,/whiskies/no.pic whisky.png,글렌리벳,스코틀랜드 (스페이사이드),40,버번 & 셰리,18-20만원,0,0,false
glenmorangie-lasanta-12,글렌모렌지 라산타 12년,/whiskies/no.pic whisky.png,글렌모렌지,스코틀랜드 (하이랜드),43,셰리 캐스크,10-12만원,0,0,false
glenrothes-whisky-makers-cut,글렌로티스 위스키 메이커스 컷,/whiskies/no.pic whisky.png,글렌로티스,스코틀랜드 (스페이사이드),48.8,셰리 캐스크,12-15만원,0,0,false
highland-park-18,하이랜드 파크 18년,/whiskies/no.pic whisky.png,하이랜드,스코틀랜드 (아일랜즈),43,셰리 캐스크,20-25만원,0,0,false
jims-korean-whisky-batch3,김창수 위스키 배치 3,/whiskies/no.pic whisky.png,김창수,한국,52,버진 오크,20-25만원,0,0,false
johnnie-walker-18,조니 워커 18년,/whiskies/no.pic whisky.png,조니워커,스코틀랜드,40,블렌디드,15-18만원,0,0,false
kavalan-solist-vinho-barrique,카발란 솔리스트 비노 바리끄,/whiskies/no.pic whisky.png,카발란,대만,57,와인 캐스크,30만원 이상,0,0,false
lagavulin-8,라가불린 8년,/whiskies/no.pic whisky.png,라가불린,스코틀랜드 (아일라),48,버번 캐스크,12-15만원,0,0,false
macallan-12-double-cask,맥캘란 12년 더블 캐스크,/whiskies/no.pic whisky.png,맥캘란,스코틀랜드 (스페이사이드),40,아메리칸 & 유러피안 셰리,12-15만원,0,0,false
makers-mark-cask-strength,메이커스 마크 캐스크 스트렝스,/whiskies/no.pic whisky.png,메이커스,미국 (켄터키),55,아메리칸 오크,10-12만원,0,0,false
